用例ID,业务模块,优先级,用例类型,用例标题,前置条件,测试步骤,预期结果,关联接口
CB_TC_024,用户模块,P0,功能,获取指定用户公开信息,存在目标用户,1.调用 /api/users/{id},返回用户公开信息，不含password,GET /api/users/{id}
CB_TC_025,用户模块,P1,异常,获取不存在用户,无该id用户,1.调用 /api/users/{id}（不存在id）,返回错误，提示用户不存在,GET /api/users/{id}
CB_TC_026,用户模块,P1,安全,公开信息不含密码字段,任意用户,1.调用 /api/users/{id} 检查返回字段,响应JSON中不含password字段,GET /api/users/{id}
CB_TC_027,用户模块,P0,功能,查看我的收藏列表,已登录且有收藏,1.调用 /api/users/me/favorites,返回当前用户收藏列表,GET /api/users/me/favorites
CB_TC_028,用户模块,P0,安全,未登录查看收藏,未登录,1.调用 /api/users/me/favorites,请求被拦截，返回未登录错误,GET /api/users/me/favorites
CB_TC_029,用户模块,P1,功能,收藏列表按时间倒序,已登录且有多条收藏,1.查看收藏列表顺序,列表按收藏时间倒序排列,GET /api/users/me/favorites
CB_TC_030,用户模块,P1,安全,密码加密存储,数据库可查询,1.查询 cb_user.password,存储值为MD5密文（如e10adc...），非明文,数据校验
CB_TC_031,用户模块,P1,安全,会话过期后需登录接口被拦截,Session过期/未登录,1.访问需登录接口,被拦截并提示未登录,登录拦截器
CB_TC_032,用户模块,P1,安全,普通用户访问管理接口被拦截,普通用户已登录,1.调用 /api/admin/users,被管理员拦截器拒绝，提示无权限,管理员拦截器
CB_TC_033,用户模块,P1,边界,用户名前后空格处理,注册页可输入,1.用户名带前后空格注册,用户名被trim或提示非法字符，不存带空格用户名,POST /api/users/register
CB_TC_034,用户模块,P2,功能,批量注册多个用户,数据库无冲突,1.依次注册多个不同用户名,全部注册成功，用户名均唯一,POST /api/users/register
CB_TC_035,用户模块,P1,数据,用户名唯一索引,数据库可查询,1.检查 cb_user 唯一索引,username 存在 UNIQUE 索引约束,数据校验
CB_TC_036,用户模块,P2,功能,注册后自动登录态,注册页,1.注册成功后访问需登录接口,若设计为自动登录则放行，否则返回未登录,POST /api/users/register
CB_TC_037,商品模块,P0,功能,默认分页商品列表,系统有在售商品,1.调用 GET /api/items,返回分页结果，仅包含status=1在售商品,GET /api/items
CB_TC_038,商品模块,P0,功能,按分类筛选,存在分类数据,1.调用 GET /api/items?categoryId=1,返回分类1下的在售商品,GET /api/items
CB_TC_039,商品模块,P0,功能,关键词搜索,存在商品含关键词,1.调用 GET /api/items?keyword=教材,返回标题/描述含关键词的在售商品,GET /api/items
CB_TC_040,商品模块,P1,功能,价格升序排序,存在多价格商品,1.调用 GET /api/items?orderBy=price_asc,返回结果按价格从小到大,GET /api/items
CB_TC_041,商品模块,P1,功能,价格降序排序,存在多价格商品,1.调用 GET /api/items?orderBy=price_desc,返回结果按价格从大到小,GET /api/items
CB_TC_042,商品模块,P1,功能,按热度排序,存在浏览量差异商品,1.调用排序接口指定热度,返回结果按view_count降序,GET /api/items
CB_TC_043,商品模块,P1,边界,分页越界,商品总数有限,1.调用 pageNum 远大于总页数,返回空列表，不报错,GET /api/items
CB_TC_044,商品模块,P1,边界,pageSize边界值,系统有商品,1.调用 pageSize=1 与 pageSize=1000,pageSize=1返回1条；超限值被限制或按上限返回,GET /api/items
CB_TC_045,商品模块,P1,功能,搜索无结果,关键词无匹配,1.调用 GET /api/items?keyword=不存在的词,返回空列表，提示正常,GET /api/items
CB_TC_046,商品模块,P0,数据,列表仅含在售商品,存在待审核/下架/已售商品,1.调用列表接口检查返回,列表不含待审核、下架、已售、锁定商品,GET /api/items
CB_TC_047,商品模块,P2,边界,分类ID不存在,无该分类,1.调用 GET /api/items?categoryId=999,返回空列表，不报错,GET /api/items
CB_TC_048,商品模块,P0,功能,正常获取商品详情,存在在售商品,1.调用 GET /api/items/{id},返回商品完整信息,GET /api/items/{id}
CB_TC_049,商品模块,P1,功能,浏览详情浏览量+1,存在商品,1.记录view_count 2.访问详情 3.再查询,view_count 增加1,GET /api/items/{id}
CB_TC_050,商品模块,P0,异常,获取不存在商品,无该id商品,1.调用 GET /api/items/{id}（不存在）,返回错误，提示商品不存在,GET /api/items/{id}
CB_TC_051,商品模块,P1,数据,已下架商品详情不可见,存在下架商品,1.访问下架商品详情,返回错误或提示商品不可见,GET /api/items/{id}
CB_TC_052,商品模块,P1,功能,详情价格两位小数,存在商品,1.检查详情返回的price,"价格以两位小数返回（DECIMAL(10,2)）",GET /api/items/{id}
CB_TC_053,商品模块,P0,功能,正常发布商品,已登录卖家,1.填写合法商品信息发布,发布成功，商品进入待审核(status=0),POST /api/items
CB_TC_054,商品模块,P0,安全,未登录发布商品,未登录,1.调用发布接口,被拦截，返回未登录错误,POST /api/items
CB_TC_055,商品模块,P0,异常,发布标题为空,已登录卖家,1.不填标题发布,发布失败，提示标题不能为空,POST /api/items
CB_TC_056,商品模块,P0,边界,发布标题超长,已登录卖家,1.输入超过50字符标题发布,发布失败，提示标题超长,POST /api/items
CB_TC_057,商品模块,P0,异常,发布价格为0或负数,已登录卖家,1.输入price=0或-1发布,发布失败，价格必须大于0,POST /api/items
CB_TC_058,商品模块,P1,边界,价格小数精度,已登录卖家,1.输入 price=12.999 发布,价格按两位小数处理（12.99/12.00）,POST /api/items
CB_TC_059,商品模块,P0,异常,发布分类不存在,已登录卖家,1.填写不存在的categoryId发布,发布失败，提示分类不存在,POST /api/items
CB_TC_060,商品模块,P2,边界,描述超长,已登录卖家,1.输入超长描述发布,TEXT字段接受，若前端限长则提示,POST /api/items
CB_TC_061,商品模块,P1,边界,图片URL超长,已登录卖家,1.输入超过500字符images发布,发布失败，提示图片链接超长,POST /api/items
CB_TC_062,商品模块,P1,异常,成色非法值,已登录卖家,1.输入condition_level=0或6,发布失败，成色取值1-5,POST /api/items
CB_TC_063,商品模块,P1,功能,发布后状态为待审核,已登录卖家,1.发布商品 2.查询商品状态,商品status=0待审核,POST /api/items
CB_TC_064,商品模块,P0,数据,待审核商品不在公开列表,已发布待审核商品,1.调用商品列表接口,待审核商品不出现,GET /api/items
CB_TC_065,商品模块,P0,功能,卖家本人修改商品,已登录卖家本人,1.修改本人商品标题/价格,修改成功，重新查询为新值,PUT /api/items/{id}
CB_TC_066,商品模块,P0,安全,非卖家修改他人商品,已登录普通用户,1.调用修改接口改他人商品,被拒绝，提示无权限,PUT /api/items/{id}
CB_TC_067,商品模块,P0,安全,未登录修改商品,未登录,1.调用修改接口,被拦截，返回未登录错误,PUT /api/items/{id}
CB_TC_068,商品模块,P0,异常,修改标题为空,已登录卖家,1.将标题清空提交修改,修改失败，提示标题不能为空,PUT /api/items/{id}
CB_TC_069,商品模块,P1,异常,修改价格为负,已登录卖家,1.将价格改为负数提交,修改失败，价格必须大于0,PUT /api/items/{id}
CB_TC_070,商品模块,P1,异常,修改锁定/已售商品,商品已锁定或已售,1.卖家修改交易中商品,修改被拒绝，交易中商品不可改,PUT /api/items/{id}
CB_TC_071,商品模块,P0,功能,卖家本人下架商品,已登录卖家本人,1.调用下架接口,商品下架成功，status=4,DELETE /api/items/{id}
CB_TC_072,商品模块,P0,安全,下架他人商品,已登录普通用户,1.调用下架接口下架他人商品,被拒绝，提示无权限,DELETE /api/items/{id}
CB_TC_073,商品模块,P0,异常,交易中商品不可下架,商品已锁定/已售,1.卖家对交易中商品调用下架,下架被拒绝,DELETE /api/items/{id}
CB_TC_074,商品模块,P0,数据,下架后公开列表不可见,已下架商品,1.调用商品列表/详情,下架商品不再出现,GET /api/items
CB_TC_075,商品模块,P0,安全,未登录下架商品,未登录,1.调用下架接口,被拦截，返回未登录错误,DELETE /api/items/{id}
CB_TC_076,商品模块,P0,功能,登录后收藏商品,已登录用户+在售商品,1.调用收藏接口,收藏成功，提示收藏成功,POST /api/items/{id}/favorite
CB_TC_077,商品模块,P1,功能,重复收藏同一商品,已收藏该商品,1.再次调用收藏接口,幂等处理，不产生重复收藏记录,POST /api/items/{id}/favorite
CB_TC_078,商品模块,P0,安全,未登录收藏商品,未登录,1.调用收藏接口,被拦截，返回未登录错误,POST /api/items/{id}/favorite
CB_TC_079,商品模块,P1,异常,收藏不存在商品,无该商品,1.调用收藏接口收藏不存在商品,收藏失败，提示商品不存在,POST /api/items/{id}/favorite
CB_TC_080,商品模块,P0,功能,取消收藏,已收藏该商品,1.调用取消收藏接口,取消成功，收藏记录删除,DELETE /api/items/{id}/favorite
CB_TC_081,商品模块,P1,功能,取消未收藏商品,未收藏该商品,1.调用取消收藏接口,幂等处理，返回成功,DELETE /api/items/{id}/favorite
CB_TC_082,商品模块,P0,安全,未登录取消收藏,未登录,1.调用取消收藏接口,被拦截，返回未登录错误,DELETE /api/items/{id}/favorite
CB_TC_083,商品模块,P1,功能,查看卖家商品列表,存在卖家商品,1.调用 GET /api/items/seller/{sellerId},返回该卖家全部商品,GET /api/items/seller/{sellerId}
CB_TC_084,商品模块,P0,数据,查看卖家在售商品,卖家存在多状态商品,1.调用 GET /api/items/seller/{sellerId}/onsale,仅返回status=1在售商品,GET /api/items/seller/{sellerId}/onsale
CB_TC_085,商品模块,P2,边界,不存在卖家的商品列表,无该卖家,1.调用 GET /api/items/seller/{sellerId}（不存在）,返回空列表，不报错,GET /api/items/seller/{sellerId}
CB_TC_086,商品模块,P1,功能,商品状态流转：发布到在售,商品待审核,1.管理员审核通过 2.查看商品,商品状态由0变为1，公开可见,PUT /api/admin/items/{id}/status
CB_TC_087,分类模块,P0,功能,获取全部分类,系统有分类数据,1.调用 GET /api/categories,返回全部分类列表,GET /api/categories
CB_TC_088,分类模块,P1,功能,分类字段完整性,系统有分类,1.检查返回的分类字段,含 id/name/icon/sort 字段,GET /api/categories
CB_TC_089,分类模块,P1,数据,分类数量与种子数据一致,初始数据库,1.查询分类数量,与初始化数据一致（5条）,GET /api/categories
CB_TC_090,分类模块,P1,功能,分类排序,系统有分类,1.检查返回顺序,按 sort 权重排序,GET /api/categories
CB_TC_091,分类模块,P1,数据,分类名唯一约束,数据库可查询,1.检查 cb_category.name,存在 UNIQUE 约束,数据校验
CB_TC_092,分类模块,P2,边界,无分类数据,清空分类表,1.调用分类接口,返回空列表，不报错,GET /api/categories
CB_TC_093,分类模块,P1,功能,分类接口公开访问,未登录,1.调用分类接口,无需登录即可访问,GET /api/categories
CB_TC_094,分类模块,P1,功能,统一响应格式,系统有分类,1.检查响应结构,"返回 {code,msg,data} 标准结构",GET /api/categories
CB_TC_095,分类模块,P1,数据,分类名长度限制,数据库可查询,1.检查 cb_category.name 字段长度,name 长度 ≤20,数据校验
CB_TC_096,分类模块,P2,功能,新增分类后列表可见,管理员可新增分类（数据层）,1.插入新分类 2.调用列表接口,新分类实时出现在列表,GET /api/categories
CB_TC_097,订单模块,P0,功能,正常下单,已登录买家+在售商品,1.调用提交订单接口,订单创建成功status=0待确认，商品锁定(status=2),POST /api/orders
CB_TC_098,订单模块,P0,安全,未登录下单,未登录,1.调用提交订单接口,被拦截，返回未登录错误,POST /api/orders
CB_TC_099,订单模块,P0,异常,下单不存在的商品,无该商品,1.对不存在itemId下单,下单失败，提示商品不存在,POST /api/orders
CB_TC_100,订单模块,P0,异常,自买自卖,买家=商品卖家,1.对自己发布的商品下单,下单失败，不能购买自己的商品,POST /api/orders
CB_TC_101,订单模块,P0,异常,重复下单已锁定商品,商品已锁定(status=2),1.对已锁定商品下单,下单失败，提示商品已被预订,POST /api/orders
CB_TC_102,订单模块,P0,异常,下单已售/下架商品,商品status=3或4,1.对已售/下架商品下单,下单失败，商品不可购买,POST /api/orders
CB_TC_103,订单模块,P0,异常,下单待审核商品,商品status=0,1.对待审核商品下单,下单失败，商品不可购买,POST /api/orders
CB_TC_104,订单模块,P1,异常,不传itemId下单,已登录买家,1.提交无itemId的请求体,返回参数错误(400/提示),POST /api/orders
CB_TC_105,订单模块,P1,边界,留言超长,已登录买家,1.提交超过200字符message,下单失败或message被截断,POST /api/orders
CB_TC_106,订单模块,P2,边界,交易地点超长,已登录买家,1.提交超过100字符meetPlace,下单失败或meetPlace被截断,POST /api/orders
CB_TC_107,订单模块,P0,数据,订单号唯一且格式正确,下单成功,1.检查返回的orderNo,orderNo唯一且以ORD开头,POST /api/orders
CB_TC_108,订单模块,P1,数据,订单价格取商品当前价格,商品价格已知,1.下单后检查订单price,订单price与商品price一致,POST /api/orders
CB_TC_109,订单模块,P0,功能,买家可见下单记录,买家已下单,1.调用 GET /api/orders/buy,返回买家订单列表，含新订单,GET /api/orders/buy
CB_TC_110,订单模块,P0,功能,卖家可见新订单,卖家有商品被下单,1.调用 GET /api/orders/sell,返回卖家订单列表，含新订单,GET /api/orders/sell
CB_TC_111,订单模块,P0,功能,卖家确认订单,订单status=0待确认,1.卖家调用确认接口,订单status=1已确认，confirmed_at被记录,PUT /api/orders/{id}/confirm
CB_TC_112,订单模块,P0,安全,买家确认订单,订单待确认,1.买家调用确认接口,被拒绝，只有卖家可确认,PUT /api/orders/{id}/confirm
CB_TC_113,订单模块,P0,安全,非交易双方确认订单,无关用户,1.无关用户调用确认接口,被拒绝，提示无权限,PUT /api/orders/{id}/confirm
CB_TC_114,订单模块,P1,异常,确认已取消订单,订单status=3已取消,1.卖家调用确认接口,操作失败，订单已取消,PUT /api/orders/{id}/confirm
CB_TC_115,订单模块,P0,安全,未登录确认订单,未登录,1.调用确认接口,被拦截，返回未登录错误,PUT /api/orders/{id}/confirm
CB_TC_116,订单模块,P0,功能,买家确认完成交易,订单status=1已确认,1.买家调用完成接口,订单status=2已完成，商品转为已售(status=3),PUT /api/orders/{id}/finish
CB_TC_117,订单模块,P0,安全,卖家调用完成接口,订单已确认,1.卖家调用完成接口,被拒绝，只有买家可完成,PUT /api/orders/{id}/finish
CB_TC_118,订单模块,P0,异常,未确认订单直接完成,订单status=0,1.买家调用完成接口,操作失败，订单未确认,PUT /api/orders/{id}/finish
CB_TC_119,订单模块,P0,数据,完成后商品转已售,交易完成,1.检查商品状态,商品status=3已售,PUT /api/orders/{id}/finish
CB_TC_120,订单模块,P0,功能,买家取消待确认订单,订单status=0,1.买家调用取消接口,订单status=3已取消，商品解锁回在售,PUT /api/orders/{id}/cancel
CB_TC_121,订单模块,P0,功能,卖家取消订单,订单待确认/已确认,1.卖家调用取消接口,订单取消成功,PUT /api/orders/{id}/cancel
CB_TC_122,订单模块,P0,异常,已完成订单不可取消,订单status=2,1.调用取消接口,操作失败，订单已完成,PUT /api/orders/{id}/cancel
CB_TC_123,订单模块,P0,数据,取消后商品恢复在售,订单已取消,1.检查商品状态,商品status=1在售,PUT /api/orders/{id}/cancel
CB_TC_124,订单模块,P0,数据,取消后商品可被他人下单,订单已取消,1.他人对同商品下单,下单成功,POST /api/orders
CB_TC_125,订单模块,P1,功能,卖家查看商品订单,卖家有商品被下单,1.调用 GET /api/orders/item/{itemId},返回该商品关联订单,GET /api/orders/item/{itemId}
CB_TC_126,订单模块,P1,功能,买家查看商品订单,买家有订单,1.调用 GET /api/orders/item/{itemId},返回该商品关联订单,GET /api/orders/item/{itemId}
CB_TC_127,订单模块,P0,安全,无关用户查看商品订单,无关用户,1.调用 GET /api/orders/item/{itemId},被拒绝，仅买卖双方可查看,GET /api/orders/item/{itemId}
CB_TC_128,订单模块,P0,安全,未登录查看商品订单,未登录,1.调用 GET /api/orders/item/{itemId},被拦截，返回未登录错误,GET /api/orders/item/{itemId}
CB_TC_129,订单模块,P0,功能,我买到的订单列表,买家有订单,1.调用 GET /api/orders/buy,返回买家视角订单,GET /api/orders/buy
CB_TC_130,订单模块,P0,功能,我卖出的订单列表,卖家有订单,1.调用 GET /api/orders/sell,返回卖家视角订单,GET /api/orders/sell
CB_TC_131,订单模块,P0,数据,买卖双视角数据隔离,存在多个用户订单,1.对比A的buy与B的sell,双方只能看到与自己相关的订单,GET /api/orders/buy|sell
CB_TC_132,订单模块,P1,功能,订单列表字段完整,存在订单,1.检查订单列表字段,含订单号/商品/价格/状态/时间等关键字段,GET /api/orders/buy
CB_TC_133,订单模块,P1,功能,订单状态合法流转,订单待确认,1.按 待确认→已确认→已完成 流转,状态依次 0→1→2 正常流转,PUT /api/orders/{id}
CB_TC_134,订单模块,P1,异常,非法状态跳转,订单待确认,1.直接调用完成接口(跳过确认),操作失败，禁止跳步,PUT /api/orders/{id}/finish
CB_TC_135,订单模块,P1,数据,订单状态与商品状态联动,交易中,1.对比订单状态与商品状态,订单锁定对应商品锁定，完成对应已售,数据校验
CB_TC_136,订单模块,P1,数据,并发下单仅一单成功,同一在售商品,1.两用户并发下单,仅一人下单成功，另一人提示已被预订,POST /api/orders
CB_TC_137,订单模块,P1,数据,订单价格与商品价格一致,数据库可查询,1.执行关联校验SQL,订单price=商品price,数据校验
CB_TC_138,订单模块,P1,数据,订单卖家与商品卖家一致,数据库可查询,1.执行关联校验SQL,订单seller_id=商品seller_id,数据校验
CB_TC_139,订单模块,P1,数据,买卖双方不同,数据库可查询,1.执行校验SQL,订单buyer_id≠seller_id,数据校验
CB_TC_140,订单模块,P1,数据,一单一评约束,数据库可查询,1.检查已完成订单评价,每个已完成订单至多一条评价,数据校验
CB_TC_141,订单模块,P1,数据,订单号全局唯一,数据库可查询,1.检查 order_no 重复,无重复订单号,数据校验
CB_TC_142,订单模块,P1,数据,取消订单无遗留锁定,数据库可查询,1.查询已取消订单对应商品状态,商品已恢复在售，无遗留锁定,数据校验
CB_TC_143,留言模块,P0,功能,正常留言,已登录用户+在售商品,1.调用留言接口,留言成功，返回留言记录,POST /api/comments
CB_TC_144,留言模块,P0,安全,未登录留言,未登录,1.调用留言接口,被拦截，返回未登录错误,POST /api/comments
CB_TC_145,留言模块,P0,异常,留言内容为空,已登录用户,1.提交空content,留言失败，提示内容不能为空,POST /api/comments
CB_TC_146,留言模块,P1,边界,留言内容超长,已登录用户,1.提交超过200字符content,留言失败，提示内容超长,POST /api/comments
CB_TC_147,留言模块,P0,异常,对不存在商品留言,无该商品,1.对不存在itemId留言,留言失败，提示商品不存在,POST /api/comments
CB_TC_148,留言模块,P1,功能,留言列表按时间排序,商品有多条留言,1.调用留言列表接口,留言按时间排序展示,GET /api/comments/item/{itemId}
CB_TC_149,留言模块,P1,功能,留言含用户信息,存在留言,1.检查留言列表返回,含留言用户昵称/头像,GET /api/comments/item/{itemId}
CB_TC_150,留言模块,P2,边界,对已下架商品留言,商品下架,1.对下架商品留言,按业务设计允许或拒绝,POST /api/comments
CB_TC_151,留言模块,P1,数据,根留言reply_id为空,存在根留言,1.检查根留言reply_id,根留言reply_id为NULL,GET /api/comments/item/{itemId}
CB_TC_152,留言模块,P0,功能,正常回复留言,存在根留言,1.调用回复接口,回复成功，reply_id指向父留言,POST /api/comments/{id}/reply
CB_TC_153,留言模块,P0,异常,回复不存在留言,无该留言,1.回复不存在的留言id,回复失败，提示留言不存在,POST /api/comments/{id}/reply
CB_TC_154,留言模块,P0,安全,未登录回复,未登录,1.调用回复接口,被拦截，返回未登录错误,POST /api/comments/{id}/reply
CB_TC_155,留言模块,P1,功能,嵌套回复,存在一级回复,1.对回复再回复,支持嵌套回复，reply_id正确,POST /api/comments/{id}/reply
CB_TC_156,留言模块,P1,边界,回复内容超长,存在根留言,1.提交超长回复内容,回复失败，提示内容超长,POST /api/comments/{id}/reply
CB_TC_157,留言模块,P1,功能,留言公开可见,未登录,1.调用留言列表接口,无需登录即可查看留言,GET /api/comments/item/{itemId}
CB_TC_158,留言模块,P1,功能,多留言均可见,商品有多条留言,1.调用列表接口,全部留言按序返回,GET /api/comments/item/{itemId}
CB_TC_159,留言模块,P1,数据,留言关联正确,数据库可查询,1.执行关联校验SQL,comment.item_id 对应真实商品,数据校验
CB_TC_160,留言模块,P1,数据,留言时间字段正确,留言成功,1.检查返回的created_at,created_at为当前时间,POST /api/comments
CB_TC_161,留言模块,P1,数据,留言用户存在性,数据库可查询,1.执行FK校验SQL,comment.user_id 对应真实用户,数据校验
CB_TC_162,留言模块,P2,数据,留言内容长度约束,数据库可查询,1.检查 content 字段,content VARCHAR(200),数据校验
CB_TC_163,评价模块,P0,功能,交易完成后可评价,订单已完成,1.调用检查接口 2.调用提交评价接口,check返回true，评价成功,GET /api/reviews/check/{orderId}
CB_TC_164,评价模块,P0,异常,未完成交易不可评价,订单未完成,1.对待确认/已确认订单调用check,check返回false，不可评价,GET /api/reviews/check/{orderId}
CB_TC_165,评价模块,P0,安全,非买家评价,无关用户,1.对他人订单提交评价,被拒绝，仅买家可评价,POST /api/reviews
CB_TC_166,评价模块,P0,安全,未登录评价,未登录,1.调用提交评价接口,被拦截，返回未登录错误,POST /api/reviews
CB_TC_167,评价模块,P1,功能,评分1-5合法,订单已完成,1.分别提交score=1/3/5,评价成功，评分正确保存,POST /api/reviews
CB_TC_168,评价模块,P0,异常,评分越界,订单已完成,1.提交score=0/6,评价失败，评分需1-5,POST /api/reviews
CB_TC_169,评价模块,P0,异常,评分缺失,订单已完成,1.不传score提交,评价失败，提示评分不能为空,POST /api/reviews
CB_TC_170,评价模块,P1,边界,评价内容超长,订单已完成,1.提交超过300字符content,评价失败，提示内容超长,POST /api/reviews
CB_TC_171,评价模块,P0,异常,一单一评重复评价,订单已有评价,1.对同一订单再次评价,评价失败，一单一评,POST /api/reviews
CB_TC_172,评价模块,P1,数据,订单唯一评价约束,数据库可查询,1.检查 cb_review.order_id,存在UNIQUE约束，一单一评,数据校验
CB_TC_173,评价模块,P0,功能,获取商品评价,商品有评价,1.调用 GET /api/reviews/item/{itemId},返回该商品评价,GET /api/reviews/item/{itemId}
CB_TC_174,评价模块,P1,功能,无评价商品返回空,商品无评价,1.调用获取评价接口,返回空结果,GET /api/reviews/item/{itemId}
CB_TC_175,评价模块,P1,功能,评价公开可见,未登录,1.调用获取评价接口,无需登录可查看评价,GET /api/reviews/item/{itemId}
CB_TC_176,评价模块,P1,功能,评价含评分与内容,存在评价,1.检查评价返回字段,含score与content,GET /api/reviews/item/{itemId}
CB_TC_177,评价模块,P1,数据,评价双方正确,数据库可查询,1.检查reviewer/reviewee,评价者为买家，被评价者为卖家,数据校验
CB_TC_178,评价模块,P1,数据,评分影响卖家信用分,评价完成,1.检查卖家credit_score,信用分按评价联动更新,数据校验
CB_TC_179,评价模块,P1,数据,评价时间正确,评价成功,1.检查created_at,为当前时间,POST /api/reviews
CB_TC_180,评价模块,P0,异常,对不存在订单评价,无该订单,1.对不存在orderId评价,评价失败，提示订单不存在,POST /api/reviews
CB_TC_181,评价模块,P1,异常,已取消订单不可评价,订单已取消,1.对已取消订单提交评价,评价失败,POST /api/reviews
CB_TC_182,评价模块,P1,边界,评价内容可选为空,订单已完成,1.不传content只传score,评价成功，content为空可接受,POST /api/reviews
CB_TC_183,收藏模块,P0,功能,正常收藏,已登录用户+在售商品,1.调用收藏接口,收藏成功,POST /api/items/{id}/favorite
CB_TC_184,收藏模块,P0,安全,未登录收藏,未登录,1.调用收藏接口,被拦截，返回未登录错误,POST /api/items/{id}/favorite
CB_TC_185,收藏模块,P0,异常,收藏不存在商品,无该商品,1.收藏不存在商品,收藏失败，提示商品不存在,POST /api/items/{id}/favorite
CB_TC_186,收藏模块,P1,数据,重复收藏唯一约束,数据库可查询,1.检查 cb_favorite,"(user_id,item_id) 存在UNIQUE约束",数据校验
CB_TC_187,收藏模块,P1,功能,收藏在售商品,商品在售,1.收藏在售商品,收藏成功,POST /api/items/{id}/favorite
CB_TC_188,收藏模块,P1,边界,收藏待审核/下架商品,商品非在售,1.收藏待审核/下架商品,按业务设计允许或拒绝,POST /api/items/{id}/favorite
CB_TC_189,收藏模块,P1,功能,收藏列表含商品信息,已收藏,1.查看收藏列表,含商品信息,GET /api/users/me/favorites
CB_TC_190,收藏模块,P1,数据,收藏后fav_count增加,商品收藏数,1.收藏后检查商品fav_count,fav_count增加1,POST /api/items/{id}/favorite
CB_TC_191,收藏模块,P1,数据,取消收藏后fav_count减少,已收藏,1.取消收藏后检查fav_count,fav_count减少1,DELETE /api/items/{id}/favorite
CB_TC_192,收藏模块,P1,功能,取消未收藏商品幂等,未收藏,1.取消收藏未收藏商品,返回成功，不报错,DELETE /api/items/{id}/favorite
